iteration,start_time,end_time,duration_seconds,selfplay_seconds,training_seconds,eval_seconds
0,2025-12-26 13:23:30,2025-12-26 14:50:22,5212,5167,45,0
1,2025-12-26 13:24:21,2025-12-26 14:51:58,5257,5239,18,0
2,2025-12-26 14:51:58,2025-12-26 15:24:15,1937,1921,16,0
3,2025-12-26 15:24:15,2025-12-26 15:56:43,1948,1933,15,0
4,2025-12-26 15:56:43,2025-12-26 16:29:17,1954,1938,16,0
5,2025-12-26 16:29:17,2025-12-26 17:01:34,1937,1922,15,0
6,2025-12-26 17:01:35,2025-12-26 17:34:04,1949,1933,16,0
7,2025-12-26 17:34:04,2025-12-26 18:06:27,1943,1929,14,0
8,2025-12-26 18:06:27,2025-12-26 18:39:01,1954,1939,15,0
9,2025-12-26 18:39:01,2025-12-26 19:11:27,1946,1932,14,0
10,2025-12-26 19:11:27,2025-12-26 19:44:11,1964,1949,15,0
11,2025-12-29 16:31:10,2025-12-29 17:04:42,2012,1997,15,0
