iteration,start_time,end_time,duration_seconds,selfplay_seconds,training_seconds
1,2026-02-07 15:06:14,2026-02-07 18:40:42,12868,10376,2492
2,2026-02-07 18:40:42,2026-02-07 22:13:35,12773,10277,2496
3,2026-02-07 22:13:35,2026-02-08 01:55:05,13290,10796,2494
4,2026-02-08 01:55:05,2026-02-08 05:31:57,13012,10525,2487
5,2026-02-08 05:31:57,2026-02-08 09:08:11,12974,10489,2485
6,2026-02-08 09:08:11,2026-02-08 12:43:06,12895,10402,2493
7,2026-02-08 12:43:06,2026-02-08 16:36:08,13982,11487,2495
8,2026-02-08 16:36:08,2026-02-08 20:42:27,14779,11520,3259
9,2026-02-08 20:42:27,2026-02-09 00:35:04,13957,11467,2490
10,2026-02-09 00:35:04,2026-02-09 04:08:23,12799,10311,2488
