iteration,start_time,end_time,duration_seconds,selfplay_seconds,training_seconds
1,2026-01-29 14:53:57,2026-01-29 15:31:13,2236,2169,67
2,2026-01-29 15:31:13,2026-01-29 16:22:37,3084,3046,38
3,2026-01-29 16:22:37,2026-01-29 17:29:21,4004,3963,41
4,2026-01-29 17:29:21,2026-01-29 18:48:09,4728,4677,51
5,2026-01-29 18:48:09,2026-01-29 20:22:15,5646,5595,51
6,2026-01-29 20:22:15,2026-01-29 22:12:09,6594,6543,51
7,2026-01-29 22:12:09,2026-01-30 00:02:16,6607,6556,51
8,2026-01-30 00:02:16,2026-01-30 01:57:53,6937,6887,50
9,2026-01-30 01:57:53,2026-01-30 03:53:55,6962,6912,50
10,2026-01-30 03:53:55,2026-01-30 05:56:37,7362,7311,51
