status,katago_elo,az_iteration,games,az_wins,katago_wins,draws,az_score,az_score_rate,ci95_low,ci95_high,az_black_wins,az_black_games,az_white_wins,az_white_games,avg_moves,forfeits,elapsed_s,csv_path,error
ok,482,29,100,6,94,0,6.0,0.060000,0.013453,0.106547,5,50,1,50,516.280,5,651,results/az20_katago_ladder_20260509-154857/games/az20_iter0029_vs_katago_elo482_v60_100g.csv,
ok,482,58,100,8,92,0,8.0,0.080000,0.026827,0.133173,5,50,3,50,498.380,8,619,results/az20_katago_ladder_20260509-154857/games/az20_iter0058_vs_katago_elo482_v60_100g.csv,
ok,482,87,100,1,99,0,1.0,0.010000,0.000000,0.029502,1,50,0,50,530.450,0,663,results/az20_katago_ladder_20260509-154857/games/az20_iter0087_vs_katago_elo482_v60_100g.csv,
ok,482,117,100,3,97,0,3.0,0.030000,0.000000,0.063435,2,50,1,50,549.560,1,680,results/az20_katago_ladder_20260509-154857/games/az20_iter0117_vs_katago_elo482_v60_100g.csv,
ok,482,146,100,2,98,0,2.0,0.020000,0.000000,0.047440,1,50,1,50,538.840,2,669,results/az20_katago_ladder_20260509-154857/games/az20_iter0146_vs_katago_elo482_v60_100g.csv,
ok,802,29,100,19,81,0,19.0,0.190000,0.113109,0.266891,8,50,11,50,407.480,14,496,results/az20_katago_ladder_20260509-154857/games/az20_iter0029_vs_katago_elo802_v60_100g.csv,
ok,802,58,100,6,94,0,6.0,0.060000,0.013453,0.106547,2,50,4,50,410.240,3,505,results/az20_katago_ladder_20260509-154857/games/az20_iter0058_vs_katago_elo802_v60_100g.csv,
ok,802,87,100,2,98,0,2.0,0.020000,0.000000,0.047440,1,50,1,50,442.640,1,549,results/az20_katago_ladder_20260509-154857/games/az20_iter0087_vs_katago_elo802_v60_100g.csv,
ok,802,117,100,3,97,0,3.0,0.030000,0.000000,0.063435,0,50,3,50,406.920,2,496,results/az20_katago_ladder_20260509-154857/games/az20_iter0117_vs_katago_elo802_v60_100g.csv,
ok,802,146,100,3,97,0,3.0,0.030000,0.000000,0.063435,1,50,2,50,428.870,2,525,results/az20_katago_ladder_20260509-154857/games/az20_iter0146_vs_katago_elo802_v60_100g.csv,
ok,1070,29,100,21,79,0,21.0,0.210000,0.130168,0.289832,1,50,20,50,427.900,1,528,results/az20_katago_ladder_20260509-154857/games/az20_iter0029_vs_katago_elo1070_v60_100g.csv,
ok,1070,58,100,6,94,0,6.0,0.060000,0.013453,0.106547,3,50,3,50,419.540,3,512,results/az20_katago_ladder_20260509-154857/games/az20_iter0058_vs_katago_elo1070_v60_100g.csv,
ok,1070,87,100,10,90,0,10.0,0.100000,0.041200,0.158800,3,50,7,50,459.040,3,568,results/az20_katago_ladder_20260509-154857/games/az20_iter0087_vs_katago_elo1070_v60_100g.csv,
ok,1070,117,100,12,88,0,12.0,0.120000,0.056308,0.183692,3,50,9,50,396.960,3,488,results/az20_katago_ladder_20260509-154857/games/az20_iter0117_vs_katago_elo1070_v60_100g.csv,
ok,1070,146,100,4,96,0,4.0,0.040000,0.001592,0.078408,0,50,4,50,548.500,3,683,results/az20_katago_ladder_20260509-154857/games/az20_iter0146_vs_katago_elo1070_v60_100g.csv,
ok,1527,29,100,11,89,0,11.0,0.110000,0.048674,0.171326,7,50,4,50,644.960,10,783,results/az20_katago_ladder_20260509-154857/games/az20_iter0029_vs_katago_elo1527_v60_100g.csv,
ok,1527,58,100,3,97,0,3.0,0.030000,0.000000,0.063435,0,50,3,50,579.570,3,693,results/az20_katago_ladder_20260509-154857/games/az20_iter0058_vs_katago_elo1527_v60_100g.csv,
ok,1527,87,100,1,99,0,1.0,0.010000,0.000000,0.029502,0,50,1,50,697.590,1,840,results/az20_katago_ladder_20260509-154857/games/az20_iter0087_vs_katago_elo1527_v60_100g.csv,
ok,1527,117,100,0,100,0,0.0,0.000000,0.000000,0.000000,0,50,0,50,713.550,0,855,results/az20_katago_ladder_20260509-154857/games/az20_iter0117_vs_katago_elo1527_v60_100g.csv,
ok,1527,146,100,1,99,0,1.0,0.010000,0.000000,0.029502,0,50,1,50,664.230,1,803,results/az20_katago_ladder_20260509-154857/games/az20_iter0146_vs_katago_elo1527_v60_100g.csv,
