iteration,start_time,end_time,duration_seconds,selfplay_seconds,training_seconds,eval_seconds
2,2025-11-21 15:29:41,2025-11-21 20:48:01,19100,18529,42,529
3,2025-11-21 20:48:01,2025-11-22 01:58:35,18634,18217,42,375
4,2025-11-22 01:58:35,2025-11-22 07:02:17,18222,17563,42,617
5,2025-11-22 07:02:17,2025-11-22 12:11:18,18541,18082,42,417
6,2025-11-22 12:11:18,2025-11-22 17:23:39,18741,17847,42,852
7,2025-11-22 17:23:39,2025-11-22 22:42:47,19148,18473,42,633
8,2025-11-22 22:42:47,2025-11-23 04:03:58,19271,18487,44,740
9,2025-11-23 04:03:58,2025-11-23 09:19:49,18951,18062,42,847
10,2025-11-23 09:19:49,2025-11-23 14:50:02,19813,19150,42,621
11,2025-11-23 14:50:02,2025-11-23 20:24:15,20053,19151,48,854
12,2025-11-24 10:20:22,2025-11-24 17:03:03,24161,22959,42,1160
13,2025-11-24 17:03:03,2025-11-24 22:31:00,19677,19035,43,599
14,2025-11-24 22:31:00,2025-11-25 04:01:59,19859,18736,42,1081
15,2025-11-25 04:01:59,2025-11-25 09:55:24,21205,19442,44,1719
16,2025-11-25 09:55:24,2025-11-25 17:13:43,26299,25391,45,863
17,2025-11-25 17:13:43,2025-11-25 23:16:02,21739,20832,57,850
18,2025-11-25 23:16:02,2025-11-26 05:01:53,20751,19852,47,852
19,2025-11-26 05:01:53,2025-11-26 10:30:13,19700,18803,42,855
20,2025-11-26 10:30:13,2025-11-26 16:08:01,20268,19371,45,852
21,2025-11-26 16:08:01,2025-11-26 21:54:49,20808,19915,45,848
22,2025-11-28 14:25:36,2025-11-28 20:41:29,22553,20779,49,1725
23,2025-11-28 20:41:29,2025-11-29 02:54:36,22387,20602,46,1739
24,2025-11-29 02:54:36,2025-11-29 09:02:20,22064,20319,46,1699
25,2025-11-29 09:02:20,2025-11-29 14:55:36,21196,20056,46,1094
26,2025-11-29 14:55:36,2025-11-29 20:50:00,21264,19512,45,1707
27,2025-11-29 20:50:00,2025-11-30 02:38:53,20933,19690,47,1196
28,2025-11-30 02:38:53,2025-11-30 08:40:07,21674,20467,48,1159
29,2025-11-30 08:40:07,2025-11-30 14:53:08,22381,20626,45,1710
30,2025-11-30 14:53:08,2025-11-30 20:52:36,21568,20323,46,1199
31,2025-11-30 20:52:36,2025-12-01 02:58:08,21932,21219,47,666
